"CTH2405-04017!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:13:11!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0206 02:19:02.394089   36585 async_driver.cc:487] [device_path: 	 ""/dev/vfio/139"" mode: KERNEL]!NDF!Change slot!510008:SYSTEM TEST"
CTH2406-00946!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:25:19!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=3, HBM=2: AAPL Runner failed: Error encountered when running lane!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-00795!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:54:25!SVS_FIRMWARE_UPDATE_ERROR!(MSVPackageInstallError) Error while installing package using script /var/lib/msv-packages/firmware-dvrmc12s/viperfish/post-install.sh;(HostCommandError) Send command failure: /var/lib/msv-packag!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00431!VIPERFISH|PLATFORMS-SERVER!2024-02-08 21:36:53!vf_loopbacks_fab_failed!Failing Child Step='vf_loopback_external - Diag';Test command '/export/hda3/tests/vf_loopback_fabs/vf_loopback_fabs_test_executable.runfiles/google3/platforms/asic_sw/tools/deepsea/vxc/vfc/vf_loo!NDF!Swap OSFP11 to OSFP3 retest (APF23111040E23)!510008:SYSTEM TEST
CTH2406-00096!VIPERFISH|PLATFORMS-SERVER!2024-02-08 16:31:41!MISSING_MEASUREMENT!Could not find measurements for 10 spec(s).!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00283!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:46:50!VOODOO_UNEXPECTED_EXCEPTION!ERROR while executing run_step() in VxStandaloneVoodoo;(Exception) No operator input received within [3600] seconds!NDF!Swap OSFP8 to OSFP0 (APF23391071TCM)!510008:SYSTEM TEST
CTH2406-00868!VIPERFISH|PLATFORMS-SERVER!2024-02-08 15:53:43!UNEXPECTED_EXCEPTION!list index out of range!NDF!Change slot!510008:SYSTEM TEST
CTH2405-01037!VIPERFISH|PLATFORMS-SERVER!2024-02-09 02:00:37!VOODOO_PARSING_ERROR!Failed to parse 1 lines from Voodoo output at line number(s): [1].!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00433!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:21:01!VF_SI_ICI_SERDES_FAIL!!NDF!Retest as is!510008:SYSTEM TEST
CTH2405-12480!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 01:48:48!VL_SI_ICI_SERDES_FAIL!Failing Child Step='ici_vl_si_pv_cdmii_le - vlsi';BER threshold was exceeded on PE3 VLC1 Port 2 Lane 2. Actual: 1.41e-06, Threshold: 6.005e-07!NDF!Replace OSFP3!510008:SYSTEM TEST
CTH2406-10658!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 04:15:37!UNEXPECTED_EXCEPTION!SSH via Paramiko library connection failed!NDF!Change slot!510008:SYSTEM TEST
CTH2405-12461!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 02:01:40!SENSOR_READ_ERROR!(BaseTrayError) Error while reading the sensors list;(IpmiToolError) Error while executing the read_sensors command;(HostCommandError) Send command failure: /usr/bin/ipmitool sensor (error: Error!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-01711!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:49:18!SVS_FIRMWARE_UPDATE_ERROR!(MSVPackageInstallError) Error while installing package using script /var/lib/msv-packages/firmware-dvrmc12s/viperfish/post-install.sh;(HostCommandError) Send command failure: /var/lib/msv-packag!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-00874!VIPERFISH|PLATFORMS-SERVER!2024-02-08 17:59:45!EXCESSIVE_HELLO_VFC_SMARTDIAG!Failing Child Step='hello_vfc - Diag';Attribute 'hello_vfc_smartdiag' has 2 violated entries. Violated entries: HelloTestSuite/HelloTc:CoreDumpCollectCsrsTest/Core0,HelloTestSuite/HelloTc:CoreDum!NDF!Change slot!510008:SYSTEM TEST
CTH2352-10131!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 02:54:14!GBMC_INTERFACE_CONFIGURE_ERROR!Failed to configure the network interface between host and gBMC;(TimeoutError) Timeout while trying to set interface bmc_usb0;(HostCommandError) Send command failure: ip link set usb0 name bmc_us!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00220!VIPERFISH|PLATFORMS-SERVER!2024-02-08 20:13:03!INVALID_PARAMS!Failing Child Step='vf_tdp_thermal_impedance - Diag';Unsupported chip/tray count: args.NumChipsPerTray: got 3, want 1 or 4!NDF!Change slot!510008:SYSTEM TEST
CTH2405-06410!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:27:05!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Replace OSFP4!510008:SYSTEM TEST
"CTH2406-00960!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:07:51!gsys_host_tray_command_error!(HostCommandError) Send command failure: gsys -k sensor list ; grep -e 'validity=""valid"".*devpath=.*DOWNLINK' ; wc -l (error: E0203 20:51:00.629957   27178 daemon_startup.cc:184] failure reading!NDF!Change slot!510008:SYSTEM TEST"
CTH2344-00167!VIPERFISH|PLATFORMS-SERVER!2024-02-06 03:33:41!VF_SI_ICI_SERDES_FAIL!OSFP2!NDF!Change OSFP2 and retest!510008:SYSTEM TEST
CTH2342-00023!SCP|PLATFORMS-SERVER!2024-02-09 03:57:54!ledcard_prsnt1_gpio!value='0' lower_limit='1' upper_limit=''!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-00859!VIPERFISH|PLATFORMS-SERVER!2024-02-08 16:30:18!verify_svs_deployment_verify_error!(HostCommandError) Send command failure: /var/lib/msv-packages/firmware-dvrmc12s/viperfish/verify_svs_deployment.sh 20;echo $? 2>&1 (error: Not found sensor viperfish_0_vcore_vout_3 from gsys sen!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00235!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:13:26!VF_SI_ICI_SERDES_FAIL!OSFP13!NDF!Replace OSFP13 and retest!510008:SYSTEM TEST
CTH2406-00101!VIPERFISH|PLATFORMS-SERVER!2024-02-08 17:55:41!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!replace CDFP3 retest!510008:SYSTEM TEST
CTH2405-12653!VIPERLITE POD|PLATFORMS-SERVER!2024-02-08 23:37:34!HAVENMAP_GSYS_ERROR!gsys client failed to retrieve RW firmware version for Haven chip at '/phys/PE3/CDFP/DOWNLINK:device:haven_vxc0':;rpc error: code = Unknown desc = Crypta command 'haven_get_version_info' failed;!NDF!Change slot!510008:SYSTEM TEST
CTH2406-00818!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:02:20!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!NDF!Change slot!510008:SYSTEM TEST
"CTH2406-00762!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:31:21!vf_vf_randhammer_execution_error!Failing Child Step='hbm_randhammer - vf-randhammer';generic::deadline_exceeded: Command ""/export/hda3/tests/vf_randhammer/vf_randhammer.runfiles/google3/platforms/deepsea/software/vxc/vfc/tools/v!NDF!Change slot!510008:SYSTEM TEST"
CTH2406-01675!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:12:38!ping_gbmc_retry_from_host_tray_fail!Failed to ping fe80::a0d5:9dff:fe6c:6e6a%gbmcbr from the host tray!NDF!Change slot!510008:SYSTEM TEST
CTH2405-07707!VIPERFISH|PLATFORMS-SERVER!2024-02-08 18:42:48!VF_SI_ICI_SERDES_FAIL!OSFP12!NDF!Replace OSFP12 and retest!510008:SYSTEM TEST
CTH2406-00483!VIPERFISH|PLATFORMS-SERVER!2024-02-08 17:01:10!VF_SI_ICI_SERDES_FAIL!OSFP14!NDF!Swap OSFP14 to OSFP6 retest (APF23111040E0F)!510008:SYSTEM TEST
CTH2406-01736!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:10:20!vfc1_telemetry!value='--' lower_limit='OK' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2406-70630!VIPERLITE POD|PLATFORMS-SERVER!2024-02-08 22:22:06!STEP_TIMEOUT_ERROR!Timeout occurred while executing ssh -o ServerAliveInterval=600 -tt root@10.0.0.9 'ulimit -Hn 1048576; ulimit -Sn 1048576; gcontain enter /; /fish/voodoo/jobhandlers/viperliteist_jobhandler_stand!NDF!Change slot!510008:SYSTEM TEST
CTH2406-01043!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:32:15!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Retest as is!510008:SYSTEM TEST
CTH2406-10667!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 04:18:02!NON_ZERO_EXIT_CODE!Failing Child Step='ici_loopback - Diag';vxc_binary.vl_loopback failed with non-zero exit code.;Tag: loopback_mode=analog, port=-1, tray=0 chip=0;F0209 03:30:11.884035  120894 vl_loopback.cc:93]!NDF!Replace OSFP0!510008:SYSTEM TEST
CTH2406-00070!VIPERFISH|PLATFORMS-SERVER!2024-02-08 15:50:40!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Replace CDFP3!510008:SYSTEM TEST
