CTH2409-00535!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:49:40!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00169!VIPERFISH|PLATFORMS-SERVER!2024-02-27 13:45:05!pcie_vfc2_speed!value='8.0GT/s' lower_limit='16.0GT/s' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05203!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:27:55!vf_loopbacks_fab_failed!Failing Child Step='vf_loopback_external - Diag';Test command '/export/hda3/tests/vf_loopback_fabs/vf_loopback_fabs_test_executable.runfiles/google3/platforms/asic_sw/tools/deepsea/vxc/vfc/vf_loo!NDF!Swap OSFP6 to OSFP14 retest (APF23131043PDW)!510008:SYSTEM TEST
CTH2334-00370!VIPERFISH|PLATFORMS-SERVER!2024-02-28 08:23:17!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP3 to OSFP11 retest (APF23111040FAW)!510008:SYSTEM TEST
CTH2409-70614!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:12:27!STETHOSCOPE_STOP_ERROR!Failing Child Step='pcm_burnin - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00524!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:58:28!vfc0_telemetry!value='--' lower_limit='OK' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-11763!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 07:13:04!PCIE_DEVPATH_MISSING!^/phys/PE\d/CDFP/DOWNLINK/VLC3:device:asic!NDF!Change slot!510008:SYSTEM TEST
CTH2408-04530!VIPERFISH|PLATFORMS-SERVER!2024-02-28 04:44:53!flow_rate_0.3_gpm!value='1.05' lower_limit='0.27' upper_limit='0.5'!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05714!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:17:12!TPU_FAIL_PCIE_THROUGHPUT!Failing Child Step='pci_throughput_aer_with_retry - Check Chip PCIe Total Throughput';/phys/PE0/IO0/CDFP/DOWNLINK/VFC3:device:asic: Checking total throughput: actual 27738235243, min 40000000000!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00637!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:04:59!haven_gbmc_fw_version!value='0.4.2022101210' lower_limit='0.4.2023042710' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70621!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:34:09!TPU_PCIE_DRIVER_OPEN_ERROR!Failing Child Step='pcie_throughput_aer_with_retry - Diag';generic::failed_precondition: open(/dev/vfio/131): Device or resource busy: Device or resource busy; Couldn't open iommu group /dev/vfio!NDF!Change slot!510008:SYSTEM TEST
CTH2408-05028!VIPERFISH|PLATFORMS-SERVER!2024-02-28 02:52:10!SENSOR_READ_ERROR!(BaseTrayError) Error while reading the sensors list;(IpmiToolError) Error while executing the read_sensors command;(HostCommandError) Send command failure: /usr/bin/ipmitool sensor (error: Error!NDF!Retest as is!510008:SYSTEM TEST
CTH2409-00350!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:57:20!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP0 and retest!510008:SYSTEM TEST
CTH2409-00411!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:21:43!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!NDF!Change slot!510008:SYSTEM TEST
CTH2405-07179!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:34:52!VF_SI_ICI_SERDES_FAIL!OSFP15!NDF!Swap OSFP15 to OSFP7 retest (APF23391070THM)!510008:SYSTEM TEST
CTH2409-00593!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:47:56!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!NDF!Swap OSFP3 to OSFP11 (APF23121041P8B)!510008:SYSTEM TEST
CTH2408-05132!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:58:43!VF_SI_ICI_SERDES_FAIL!OSFP2!NDF!Swap OSFP2 to OSFP10 retest (APF23261040679)!510008:SYSTEM TEST
CTH2409-00573!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:05:25!TPU_HBM_LANE_REPAIR_FAILED_HARD!Failing Child Step='hbm_lane_repair - HBM Lane Repair Operation';Encountered an error during lane repair action hard tray=0, chip=0, HBM=1: AAPL Runner failed: Error encountered when running lane!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00392!VIPERFISH|PLATFORMS-SERVER!2024-02-27 23:04:52!VOODOO_PARSING_ERROR!Failed to parse 1 lines from Voodoo output at line number(s): [1].!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00572!VIPERFISH|PLATFORMS-SERVER!2024-02-28 01:43:52!flow_rate_0.6_gpm!value='0.31' lower_limit='0.54' upper_limit='0.66'!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70565!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 07:41:21!TASK_EXCEPTION__INACTIVERPCERROR!Failing Child Step='thermal_impedance_with_retry - Diag';<_InactiveRpcError of RPC that terminated with:;	status = StatusCode.UNIMPLEMENTED;	details = "fan: /phys/PE3/CDFP/DOWNLINK/FAN0:device:fa!NDF!Change slot!510008:SYSTEM TEST
CTH2409-00328!VIPERFISH|PLATFORMS-SERVER!2024-02-27 22:12:48!VF_SI_ICI_SERDES_FAIL!OSFP1!NDF!Swap OSFP1 to OSFP15 and retest!510008:SYSTEM TEST
CTH2408-05669!VIPERFISH|PLATFORMS-SERVER!2024-02-28 08:16:55!VF_SI_ICI_SERDES_FAIL!OSFP0!NDF!Swap OSFP0 to OSFP8 retest (APF23291076FGE)!510008:SYSTEM TEST
CTH2409-00598!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:01:36!072_0x2C_vfc1_delta_d50s400a_ibc_b!value='--' lower_limit='OK' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2409-70632!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 03:37:44!STETHOSCOPE_STOP_ERROR!Failing Child Step='pcm_burnin - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
CTH2408-00901!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:36:56!TPU_FAIL_PCIE_THROUGHPUT!Failing Child Step='pci_throughput_aer_with_retry - Check Chip PCIe Total Throughput';/phys/PE0/IO0/CDFP/DOWNLINK/VFC2:device:asic: Checking total throughput: actual 39032739091, min 40000000000!NDF!Change slot!510008:SYSTEM TEST
CTH2408-00293!VIPERFISH|PLATFORMS-SERVER!2024-02-23 05:13:29!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!NDF!510008:SYSTEM TEST
CTH2408-01454!VIPERFISH|PLATFORMS-SERVER!2024-02-28 03:33:58!VF_SI_ICI_SERDES_FAIL!OSFP14!NDF!Swap OSFP14 to OSFP6 (APF23411073HCH)!510008:SYSTEM TEST
CTH2408-03418!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:44:26!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance_retry_2 - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!NDF!Change slot!510008:SYSTEM TEST
